DR_NO,DATE,AREA,AREA_NAME,PREMISE_CODE,PREMISE_DESC,RPT DIST NO,PART 1-2,CRM CD,CRM CD DESC,NUM_CRIMES_DATE,NUM_CRIMES_AREA,NUM_CRIMES_AREA_NAME,NUM_CRIMES_TYPE,NUM_CRIMES_TYPE_DESC,NUM_CRIMES_DISTRICT,NUM_CRIMES_CODE,NUM_CRIMES_PREMISE,NUM_CRIMES_PREMISE_DESC,NUM_SIMILAR_VICTIM_DESCENT,NUM_GENDER_DIVERSITY,NUM_WEAPON_USED_IN_AREA,NUM_VICTIM_DESCENT_COMMON_IN_WEAPON,NUM_AREA_COMMON_FOR_VICTIM_DESCENT,IS_HIGH_CRIME_RATE_AREA,IS_VICTIM_FEMALE,IS_VICTIM_MALE,IS_CRIME_INVOLVING_MINOR,IS_CRIME_INVOLVING_ADULT,IS_CRIME_INVOLVING_SENIOR,IS_HIGH_NIGHT_CRIME_AREA,IS_HIGH_DAY_CRIME_AREA
200104129,1/2/2020,1,Central,101,STREET,124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,794,794,584,43,12,43,215,215,231,640,0,0,0,1,0,0,0,1,0,0,0
210121427,10/18/2020,1,Central,101,STREET,121,2,860,BATTERY WITH SEXUAL CONTACT,1,794,794,416,19,2,19,215,215,231,640,0,1,0,1,0,0,0,1,0,0,0
200104132,1/2/2020,1,Central,108,PARKING LOT,182,1,330,BURGLARY FROM VEHICLE,32,794,794,584,127,43,127,74,74,231,492,0,1,0,1,0,0,0,1,0,0,0
200104135,1/2/2020,1,Central,101,STREET,142,1,440,THEFT PLAIN - PETTY ($950 & UNDER),32,794,794,584,75,8,75,215,215,231,492,0,1,0,1,0,0,0,1,0,0,0
200104136,1/2/2020,1,Central,101,STREET,158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,794,794,584,43,15,43,215,215,188,492,0,0,0,1,0,0,0,1,0,0,0
201815332,8/10/2020,18,Southeast,505,MOTEL,1822,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1,10,10,416,34,3,34,1,1,188,640,0,1,0,0,0,0,0,1,0,0,0
200104138,1/2/2020,1,Central,203,OTHER BUSINESS,111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,794,794,584,43,48,43,40,40,304,492,0,0,0,1,0,0,0,1,0,0,0
200104139,1/2/2020,1,Central,210,RESTAURANT/FAST FOOD,162,2,888,TRESPASSING,32,794,794,416,19,90,19,15,15,83,492,0,1,0,1,0,0,0,1,0,0,0
200104140,1/2/2020,1,Central,701,HOSPITAL,192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,794,794,416,34,27,34,6,6,188,640,0,1,0,1,0,0,0,1,0,0,0
200104141,1/2/2020,1,Central,203,OTHER BUSINESS,162,2,624,BATTERY - SIMPLE ASSAULT,32,794,794,416,118,90,118,40,40,83,492,0,1,0,1,0,0,0,1,0,0,0
200104150,1/2/2020,1,Central,102,SIDEWALK,158,2,624,BATTERY - SIMPLE ASSAULT,32,794,794,416,118,15,118,129,129,188,492,0,0,0,1,0,0,0,1,0,0,0
200516527,11/12/2020,5,Harbor,104,DRIVEWAY,508,1,510,VEHICLE - STOLEN,2,19,19,584,51,1,51,5,5,64,936,0,1,0,0,0,0,1,0,0,0,0
200609101,4/12/2020,6,Hollywood,108,PARKING LOT,648,1,510,VEHICLE - STOLEN,2,17,17,584,51,2,51,74,74,64,936,0,1,0,0,0,0,1,0,0,0,0
200104187,1/1/2020,1,Central,404,DEPARTMENT STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),40,794,794,584,50,90,50,35,35,304,640,0,1,0,1,0,0,0,1,0,0,0
211422362,12/2/2020,14,Pacific,501,SINGLE FAMILY DWELLING,1416,2,354,THEFT OF IDENTITY,1,6,6,416,33,1,33,70,70,188,640,0,1,0,0,0,0,0,1,0,0,0
200104192,1/3/2020,1,Central,102,SIDEWALK,124,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),27,794,794,416,27,12,27,129,129,71,932,0,1,0,1,0,0,1,0,0,0,0
211304982,7/24/2020,13,Newton,501,SINGLE FAMILY DWELLING,1381,1,121,"RAPE, FORCIBLE",2,3,3,584,9,1,9,70,70,304,640,0,1,0,0,0,0,1,0,0,0,0
200104201,1/1/2020,1,Central,101,STREET,132,1,330,BURGLARY FROM VEHICLE,40,794,794,584,127,9,127,215,215,304,492,0,1,0,1,0,0,0,1,0,0,0
200104204,1/2/2020,1,Central,101,STREET,154,1,440,THEFT PLAIN - PETTY ($950 & UNDER),32,794,794,584,75,19,75,215,215,188,492,0,1,0,1,0,0,0,1,0,0,0
200104205,1/3/2020,1,Central,101,STREET,128,1,440,THEFT PLAIN - PETTY ($950 & UNDER),27,794,794,584,75,8,75,215,215,188,492,0,1,0,1,0,0,0,1,0,0,0
200104208,1/3/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),27,794,794,416,27,27,27,108,108,188,492,0,1,0,1,0,0,0,1,0,0,0
200104209,1/3/2020,1,Central,102,SIDEWALK,152,2,624,BATTERY - SIMPLE ASSAULT,27,794,794,416,118,45,118,129,129,304,492,0,1,0,1,0,0,0,1,0,0,0
200104221,1/3/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",166,1,761,BRANDISH WEAPON,27,794,794,584,14,22,14,108,108,188,640,0,0,0,1,0,0,0,1,0,0,0
200104222,1/3/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",135,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",27,794,794,416,53,13,53,108,108,188,640,0,1,0,1,0,0,0,1,0,0,0
200104223,1/3/2020,1,Central,122,"VEHICLE, PASSENGER/TRUCK",154,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),27,794,794,416,27,19,27,39,39,231,492,0,1,0,1,0,0,0,1,0,0,0
200104224,1/3/2020,1,Central,406,OTHER STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,794,794,584,50,90,50,15,15,304,492,0,1,0,1,0,0,0,1,0,0,0
200104227,1/3/2020,1,Central,406,OTHER STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,794,794,584,50,90,50,15,15,231,492,0,1,0,1,0,0,0,1,0,0,0
200104228,1/3/2020,1,Central,101,STREET,159,1,210,ROBBERY,27,794,794,584,35,26,35,215,215,304,492,0,0,0,1,0,0,0,1,0,0,0
200104230,1/3/2020,1,Central,101,STREET,162,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),27,794,794,584,27,90,27,215,215,64,936,0,1,0,1,0,0,1,0,0,0,0
200104231,1/3/2020,1,Central,101,STREET,148,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,794,794,584,43,7,43,215,215,304,492,0,0,0,1,0,0,0,1,0,0,0
200104233,1/3/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",145,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",27,794,794,584,45,6,45,108,108,231,492,0,1,0,1,0,0,0,1,0,0,0
200104234,1/3/2020,1,Central,210,RESTAURANT/FAST FOOD,135,1,440,THEFT PLAIN - PETTY ($950 & UNDER),27,794,794,584,75,13,75,15,15,304,640,0,1,0,1,0,0,0,1,0,0,0
200104235,1/3/2020,1,Central,101,STREET,159,1,330,BURGLARY FROM VEHICLE,27,794,794,584,127,26,127,215,215,304,640,0,1,0,1,0,0,0,1,0,0,0
200104236,1/3/2020,1,Central,101,STREET,161,1,330,BURGLARY FROM VEHICLE,27,794,794,584,127,20,127,215,215,188,492,0,1,0,1,0,0,0,1,0,0,0
200104237,1/4/2020,1,Central,101,STREET,192,1,330,BURGLARY FROM VEHICLE,29,794,794,584,127,27,127,215,215,188,492,0,1,0,1,0,0,0,1,0,0,0
200104238,1/3/2020,1,Central,108,PARKING LOT,182,1,330,BURGLARY FROM VEHICLE,27,794,794,584,127,43,127,74,74,71,932,0,1,0,1,0,0,1,0,0,0,0
200409682,6/10/2020,4,Hollenbeck,501,SINGLE FAMILY DWELLING,412,1,210,ROBBERY,1,16,16,584,35,1,35,70,70,304,640,0,1,0,0,0,0,0,1,0,0,0
200706211,2/16/2020,7,Wilshire,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",734,2,624,BATTERY - SIMPLE ASSAULT,2,11,11,416,118,1,118,108,108,304,640,0,1,0,0,0,0,0,1,0,0,0
210704711,12/24/2020,7,Wilshire,101,STREET,782,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,11,11,584,5,1,5,215,215,45,640,0,1,0,0,0,0,0,1,0,0,0
200104244,1/4/2020,1,Central,102,SIDEWALK,156,2,624,BATTERY - SIMPLE ASSAULT,29,794,794,416,118,23,118,129,129,188,640,0,0,0,1,0,0,0,1,0,0,0
200815521,9/18/2020,8,West LA,501,SINGLE FAMILY DWELLING,852,2,354,THEFT OF IDENTITY,2,21,21,416,33,3,33,70,70,83,640,0,1,0,0,0,0,0,1,0,0,0
200317571,9/19/2020,3,Southwest,101,STREET,353,1,210,ROBBERY,2,14,14,584,35,1,35,215,215,188,492,0,0,0,0,0,0,0,1,0,0,0
200306227,2/6/2020,3,Southwest,101,STREET,397,1,510,VEHICLE - STOLEN,3,14,14,584,51,1,51,215,215,64,936,0,1,0,0,0,0,1,0,0,0,0
200514277,9/17/2020,5,Harbor,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",558,2,901,VIOLATION OF RESTRAINING ORDER,1,19,19,416,6,1,6,108,108,304,640,0,1,0,0,0,0,0,1,0,0,0
200104268,1/4/2020,1,Central,101,STREET,111,2,624,BATTERY - SIMPLE ASSAULT,29,794,794,416,118,48,118,215,215,304,640,0,1,0,1,0,0,0,1,0,0,0
200104269,1/4/2020,1,Central,102,SIDEWALK,156,2,624,BATTERY - SIMPLE ASSAULT,29,794,794,416,118,23,118,129,129,83,640,0,0,0,1,0,0,0,1,0,0,0
200104270,1/4/2020,1,Central,108,PARKING LOT,195,1,330,BURGLARY FROM VEHICLE,29,794,794,584,127,19,127,74,74,304,492,0,1,0,1,0,0,0,1,0,0,0
200816200,11/7/2020,8,West LA,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",849,2,886,DISTURBING THE PEACE,5,21,21,416,2,1,2,108,108,231,492,0,1,0,0,0,0,0,1,0,0,0
201821270,11/28/2020,18,Southeast,501,SINGLE FAMILY DWELLING,1826,2,901,VIOLATION OF RESTRAINING ORDER,2,10,10,416,6,1,6,70,70,304,640,0,0,0,0,0,0,0,1,0,0,0
200104275,1/4/2020,1,Central,402,MARKET,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),29,794,794,584,50,20,50,5,5,71,932,0,1,0,1,0,0,1,0,0,0,0
200104276,1/2/2020,1,Central,834,LA UNION STATION (NOT LINE SPECIFIC),119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),32,794,794,584,75,40,75,17,17,304,492,0,1,0,1,0,0,0,1,0,0,0
200104277,1/4/2020,1,Central,101,STREET,159,1,330,BURGLARY FROM VEHICLE,29,794,794,584,127,26,127,215,215,83,492,0,1,0,1,0,0,0,1,0,0,0
200104279,1/4/2020,1,Central,404,DEPARTMENT STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),29,794,794,584,50,90,50,35,35,71,932,0,1,0,1,0,0,1,0,0,0,0
200104281,1/4/2020,1,Central,517,MISSIONS/SHELTERS,156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),29,794,794,584,75,23,75,11,11,231,640,0,1,0,1,0,0,0,1,0,0,0
200400694,3/26/2020,4,Hollenbeck,102,SIDEWALK,422,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,16,16,584,43,2,43,129,129,304,492,0,0,0,0,0,0,0,1,0,0,0
200104283,1/4/2020,1,Central,404,DEPARTMENT STORE,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),29,794,794,584,50,90,50,35,35,71,932,0,1,0,1,0,0,1,0,0,0,0
200104284,1/4/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",145,2,888,TRESPASSING,29,794,794,416,19,6,19,108,108,83,492,0,1,0,1,0,0,0,0,1,0,0
200104285,1/5/2020,1,Central,203,OTHER BUSINESS,164,2,624,BATTERY - SIMPLE ASSAULT,25,794,794,416,118,15,118,40,40,304,492,0,1,0,1,0,0,0,1,0,0,0
200104286,1/4/2020,1,Central,707,GARAGE/CARPORT,162,1,330,BURGLARY FROM VEHICLE,29,794,794,584,127,90,127,13,13,304,492,0,1,0,1,0,0,0,1,0,0,0
200104287,1/4/2020,1,Central,834,LA UNION STATION (NOT LINE SPECIFIC),119,2,624,BATTERY - SIMPLE ASSAULT,29,794,794,416,118,40,118,17,17,304,640,0,1,0,1,0,0,0,1,0,0,0
200104289,1/3/2020,1,Central,735,NIGHT CLUB (OPEN EVENINGS ONLY),164,1,440,THEFT PLAIN - PETTY ($950 & UNDER),27,794,794,584,75,15,75,13,13,5,640,0,1,0,1,0,0,0,1,0,0,0
200104291,1/4/2020,1,Central,102,SIDEWALK,163,1,210,ROBBERY,29,794,794,584,35,15,35,129,129,304,492,0,1,0,1,0,0,0,1,0,0,0
200104292,1/4/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",101,1,440,THEFT PLAIN - PETTY ($950 & UNDER),29,794,794,584,75,8,75,108,108,231,640,0,1,0,1,0,0,0,1,0,0,0
200104293,1/3/2020,1,Central,123,PARKING UNDERGROUND/BUILDING,105,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),27,794,794,584,27,10,27,17,17,188,640,0,1,0,1,0,0,0,1,0,0,0
200104300,1/4/2020,1,Central,122,"VEHICLE, PASSENGER/TRUCK",152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,794,794,416,53,45,53,39,39,83,492,0,1,0,1,0,0,0,1,0,0,0
200815782,10/27/2020,8,West LA,101,STREET,884,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1,21,21,416,34,1,34,215,215,231,640,0,1,0,0,0,0,0,1,0,0,0
200104302,1/1/2020,1,Central,207,BAR/COCKTAIL/NIGHTCLUB,153,1,440,THEFT PLAIN - PETTY ($950 & UNDER),40,794,794,584,75,33,75,6,6,4,640,0,1,0,1,0,0,0,1,0,0,0
200104303,1/4/2020,1,Central,108,PARKING LOT,166,1,510,VEHICLE - STOLEN,29,794,794,584,51,22,51,74,74,64,936,0,1,0,1,0,0,1,0,0,0,0
200104310,1/5/2020,1,Central,102,SIDEWALK,118,2,624,BATTERY - SIMPLE ASSAULT,25,794,794,416,118,12,118,129,129,304,492,0,1,0,1,0,0,0,1,0,0,0
200815680,10/24/2020,8,West LA,501,SINGLE FAMILY DWELLING,855,1,310,BURGLARY,1,21,21,584,23,2,23,70,70,83,492,0,1,0,0,0,0,0,1,0,0,0
200104313,1/4/2020,1,Central,102,SIDEWALK,156,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,794,794,584,45,23,45,129,129,188,492,0,1,0,1,0,0,0,0,1,0,0
211614109,9/20/2020,16,Foothill,151,TOW YARD*,1685,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2,5,5,584,27,1,27,1,1,64,936,0,1,0,0,0,0,1,0,0,0,0
200104316,1/4/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",162,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,29,794,794,416,22,90,22,108,108,231,640,0,0,0,1,0,0,0,1,0,0,0
200104319,1/4/2020,1,Central,753,DETENTION/JAIL FACILITY,127,2,623,BATTERY POLICE (SIMPLE),29,794,794,416,4,3,4,2,2,71,932,0,1,0,1,0,0,1,0,0,0,0
200104320,1/4/2020,1,Central,101,STREET,164,1,330,BURGLARY FROM VEHICLE,29,794,794,584,127,15,127,215,215,188,492,0,1,0,1,0,0,1,0,0,0,0
200104321,1/5/2020,1,Central,101,STREET,185,1,330,BURGLARY FROM VEHICLE,25,794,794,584,127,20,127,215,215,45,640,0,1,0,1,0,0,0,1,0,0,0
200812231,5/15/2020,8,West LA,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",886,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,21,21,416,11,1,11,108,108,231,492,0,1,0,0,0,0,0,1,0,0,0
200104323,1/3/2020,1,Central,101,STREET,165,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),27,794,794,584,27,5,27,215,215,231,492,0,1,0,1,0,0,0,1,0,0,0
200104325,1/6/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",185,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,35,794,794,416,34,20,34,108,108,231,640,0,1,0,1,0,0,0,1,0,0,0
200104326,1/5/2020,1,Central,101,STREET,182,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",25,794,794,416,53,43,53,215,215,304,492,0,1,0,1,0,0,0,1,0,0,0
200104327,1/5/2020,1,Central,834,LA UNION STATION (NOT LINE SPECIFIC),119,1,210,ROBBERY,25,794,794,584,35,40,35,17,17,71,932,0,1,0,1,0,0,1,0,0,0,0
200104328,1/5/2020,1,Central,102,SIDEWALK,153,1,350,"THEFT, PERSON",25,794,794,584,16,33,16,129,129,231,640,0,1,0,1,0,0,0,1,0,0,0
200104329,1/5/2020,1,Central,102,SIDEWALK,134,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,25,794,794,584,1,10,1,129,129,304,640,0,1,0,1,0,0,0,1,0,0,0
200104330,1/5/2020,1,Central,834,LA UNION STATION (NOT LINE SPECIFIC),119,2,888,TRESPASSING,25,794,794,416,19,40,19,17,17,231,492,0,1,0,1,0,0,0,1,0,0,0
200104331,1/5/2020,1,Central,710,OTHER PREMISE,157,2,624,BATTERY - SIMPLE ASSAULT,25,794,794,416,118,13,118,6,6,188,640,0,1,0,1,0,0,0,1,0,0,0
200104333,1/6/2020,1,Central,834,LA UNION STATION (NOT LINE SPECIFIC),119,2,888,TRESPASSING,35,794,794,416,19,40,19,17,17,71,932,0,1,0,1,0,0,1,0,0,0,0
200405489,2/6/2020,4,Hollenbeck,501,SINGLE FAMILY DWELLING,464,2,946,OTHER MISCELLANEOUS CRIME,3,16,16,416,14,1,14,70,70,304,640,0,0,0,0,0,0,1,0,0,0,0
200104336,1/5/2020,1,Central,101,STREET,185,2,647,THROWING OBJECT AT MOVING VEHICLE,25,794,794,416,1,20,1,215,215,304,492,0,0,0,1,0,0,0,1,0,0,0
200104337,1/6/2020,1,Central,102,SIDEWALK,163,1,440,THEFT PLAIN - PETTY ($950 & UNDER),35,794,794,584,75,15,75,129,129,188,492,0,1,0,1,0,0,0,1,0,0,0
200104339,1/5/2020,1,Central,122,"VEHICLE, PASSENGER/TRUCK",192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,794,794,416,27,27,27,39,39,188,640,0,1,0,1,0,0,0,1,0,0,0
200104340,1/5/2020,1,Central,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",195,1,310,BURGLARY,25,794,794,584,23,19,23,108,108,188,492,0,1,0,1,0,0,0,1,0,0,0
200104351,1/1/2020,1,Central,108,PARKING LOT,162,1,330,BURGLARY FROM VEHICLE,40,794,794,584,127,90,127,74,74,188,492,0,1,0,1,0,0,0,1,0,0,0
200104352,1/5/2020,1,Central,101,STREET,153,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),25,794,794,584,27,33,27,215,215,64,936,0,1,0,1,0,0,1,0,0,0,0
220314085,5/12/2020,3,Southwest,248,CELL PHONE STORE,303,2,354,THEFT OF IDENTITY,1,14,14,416,33,1,33,1,1,188,640,0,1,0,0,0,0,0,1,0,0,0
200104360,1/6/2020,1,Central,102,SIDEWALK,153,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,794,794,584,43,33,43,129,129,71,932,0,0,0,1,0,0,0,1,0,0,0
210804296,1/4/2020,8,West LA,501,SINGLE FAMILY DWELLING,808,2,940,EXTORTION,29,21,21,416,1,1,1,70,70,83,492,0,1,0,0,0,0,0,1,0,0,0
200104369,1/6/2020,1,Central,101,STREET,127,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,794,794,584,43,3,43,215,215,304,492,0,0,0,1,0,0,0,1,0,0,0
200104372,1/6/2020,1,Central,123,PARKING UNDERGROUND/BUILDING,111,1,330,BURGLARY FROM VEHICLE,35,794,794,584,127,48,127,17,17,231,640,0,1,0,1,0,0,0,1,0,0,0
200104377,1/5/2020,1,Central,101,STREET,163,2,624,BATTERY - SIMPLE ASSAULT,25,794,794,416,118,15,118,215,215,188,492,0,1,0,1,0,0,0,0,1,0,0
